,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X19_GET_req],2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,REST_X19,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,REST_X19,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
5,[X19_X5_GET_req],5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
6,REST_X5,6,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
7,REST_X5,7,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
8,[X5_X17_GET_req],8,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0
9,REST_X17,9,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0
10,REST_X17,10,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0
11,[X17_X21_GET_req],11,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,1,0,0,0
12,REST_X21,12,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,2,0,0,0
13,REST_X21,13,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,5,0,0,0
14,[X21_X23_GET_req],14,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,6,0,1,0
15,REST_X23,15,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,6,0,2,0
16,REST_X23,16,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,6,0,11,0
17,[X23_X13_GET_req],17,11,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,6,0,10,0,6,0,12,0
18,REST_X13,18,11,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,6,0,10,0,6,0,12,0
19,REST_X13,19,11,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,6,0,10,0,6,0,12,0
20,[X13_X22_GET_req],20,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,6,0,10,0,6,1,12,0
21,REST_X22,21,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,6,0,10,0,6,2,12,0
22,REST_X22,22,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,6,0,10,0,6,5,12,0
23,[X22_X15_GET_req],23,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,1,0,6,0,10,0,6,6,12,0
24,REST_X15,24,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,2,0,6,0,10,0,6,6,12,0
25,REST_X15,25,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,3,0,6,0,10,0,6,6,12,0
26,[X22_X15_GET_resp_2xx],26,11,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,6,0,10,0,6,3,12,0
27,[X13_X22_GET_resp_2xx],27,11,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,6,0,10,0,6,0,12,0
28,[X23_X13_GET_resp_2xx],28,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,6,0,3,0
29,[X21_X23_GET_resp_2xx],29,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,3,0,0,0
30,[X17_X21_GET_resp_2xx],30,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0
31,[X5_X17_GET_resp_2xx],31,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
32,[X19_X5_GET_resp_2xx],32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
33,[X0_X19_GET_resp_2xx],33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,REST_X0,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,[X0_X19_GET_req],35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,REST_X19,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
37,REST_X19,37,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
38,[X19_X10_GET_req],38,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
39,REST_X10,39,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0
40,REST_X10,40,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0
41,[X10_X1_GET_req],41,11,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
42,REST_X1,42,11,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
43,REST_X1,43,11,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
44,[X1_X8_GET_req],44,11,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
45,REST_X8,45,11,6,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
46,REST_X8,46,11,6,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
47,[X8_X7_GET_req],47,11,6,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
48,REST_X7,48,11,6,0,0,0,0,0,2,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
49,REST_X7,49,11,6,0,0,0,0,0,9,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
50,[X7_X2_GET_req],50,11,6,1,0,0,0,0,10,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
51,REST_X2,51,11,6,2,0,0,0,0,10,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
52,REST_X2,52,11,6,5,0,0,0,0,10,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0
