,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X13_GET_req],2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,REST_X13,3,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,REST_X13,4,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,[X13_X4_GET_req],5,11,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
6,REST_X4,6,11,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7,REST_X4,7,11,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
8,[X4_X5_GET_req],8,11,0,0,0,12,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
9,REST_X5,9,11,0,0,0,12,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10,REST_X5,10,11,0,0,0,12,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
11,[X5_X20_GET_req],11,11,0,0,0,12,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
12,REST_X20,12,11,0,0,0,12,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0
13,REST_X20,13,11,0,0,0,12,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0
14,[X20_X12_GET_req],14,11,0,0,0,12,12,0,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,0,0,0
15,REST_X12,15,11,0,0,0,12,12,0,0,0,0,0,0,2,6,0,0,0,0,0,0,6,0,0,0,0
16,REST_X12,16,11,0,0,0,12,12,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,0,0,0,0
17,[X20_X12_GET_resp_2xx],17,11,0,0,0,12,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0
18,[X5_X20_GET_resp_2xx],18,11,0,0,0,12,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
19,[X4_X5_GET_resp_2xx],19,11,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
20,[X13_X4_GET_resp_2xx],20,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
21,[X0_X13_GET_resp_2xx],21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,REST_X0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,[X0_X9_GET_req],23,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,REST_X9,24,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,REST_X9,25,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,[X9_X3_GET_req],26,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,REST_X3,27,3,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,REST_X3,28,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,[X9_X3_GET_resp_2xx],29,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,[X0_X9_GET_resp_2xx],30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,REST_X0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,[X0_X9_GET_req],32,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,REST_X9,33,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,REST_X9,34,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,[X9_X3_GET_req],35,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,REST_X3,36,3,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,REST_X3,37,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,[X9_X3_GET_resp_2xx],38,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,[X0_X9_GET_resp_2xx],39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,REST_X0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,[X0_X13_GET_req],41,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,REST_X13,42,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
43,REST_X13,43,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
44,[X13_X4_GET_req],44,11,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
45,REST_X4,45,11,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
46,REST_X4,46,11,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
47,[X4_X5_GET_req],47,11,0,0,0,12,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
48,REST_X5,48,11,0,0,0,12,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
49,REST_X5,49,11,0,0,0,12,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
50,[X5_X11_GET_req],50,11,0,0,0,12,6,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
51,REST_X11,51,11,0,0,0,12,6,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
52,REST_X11,52,11,0,0,0,12,6,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
