,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X17_GET_req],2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,REST_X17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4,REST_X17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
5,[X17_X24_GET_req],5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1
6,REST_X24,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2
7,REST_X24,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,9
8,[X24_X6_GET_req],8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,10
9,REST_X6,9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,10
10,REST_X6,10,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,10
11,[X6_X7_GET_req],11,3,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,10
12,REST_X7,12,3,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,10
13,REST_X7,13,3,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,10
14,[X7_X20_GET_req],14,3,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,10
15,REST_X20,15,3,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,10
16,REST_X20,16,3,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,0,10
17,[X20_X15_GET_req],17,3,0,0,0,0,0,10,6,0,0,0,0,0,0,0,1,0,24,0,0,6,0,0,0,10
18,REST_X15,18,3,0,0,0,0,0,10,6,0,0,0,0,0,0,0,2,0,24,0,0,6,0,0,0,10
19,REST_X15,19,3,0,0,0,0,0,10,6,0,0,0,0,0,0,0,5,0,24,0,0,6,0,0,0,10
20,[X15_X3_GET_req],20,3,0,0,1,0,0,10,6,0,0,0,0,0,0,0,6,0,24,0,0,6,0,0,0,10
21,REST_X3,21,3,0,0,2,0,0,10,6,0,0,0,0,0,0,0,6,0,24,0,0,6,0,0,0,10
22,REST_X3,22,3,0,0,5,0,0,10,6,0,0,0,0,0,0,0,6,0,24,0,0,6,0,0,0,10
23,[X3_X21_GET_req],23,3,0,0,6,0,0,10,6,0,0,0,0,0,0,0,6,0,24,0,0,6,1,0,0,10
24,REST_X21,24,3,0,0,6,0,0,10,6,0,0,0,0,0,0,0,6,0,24,0,0,6,2,0,0,10
